,starting_lat,starting_long,amount
71403,40.6,-74.01,44
71404,40.6,-74.00500000000001,30
72077,40.605000000000004,-74.17500000000001,7
72078,40.605000000000004,-74.17,11
72079,40.605000000000004,-74.165,19
72080,40.605000000000004,-74.16000000000001,21
72081,40.605000000000004,-74.155,6
72082,40.605000000000004,-74.15,3
72083,40.605000000000004,-74.14500000000001,7
72084,40.605000000000004,-74.14,6
72085,40.605000000000004,-74.135,27
72086,40.605000000000004,-74.13000000000001,32
72087,40.605000000000004,-74.125,14
72088,40.605000000000004,-74.12,10
72089,40.605000000000004,-74.11500000000001,6
72091,40.605000000000004,-74.105,1
72092,40.605000000000004,-74.10000000000001,5
72093,40.605000000000004,-74.095,11
72094,40.605000000000004,-74.09,20
72095,40.605000000000004,-74.08500000000001,13
72096,40.605000000000004,-74.08000000000001,14
72097,40.605000000000004,-74.075,7
72098,40.605000000000004,-74.07000000000001,12
72099,40.605000000000004,-74.06500000000001,8
72100,40.605000000000004,-74.06,4
72104,40.605000000000004,-74.04,1
72106,40.605000000000004,-74.03,2
72108,40.605000000000004,-74.02000000000001,2
72109,40.605000000000004,-74.015,17
72110,40.605000000000004,-74.01,19
72111,40.605000000000004,-74.00500000000001,38
72781,40.61,-74.19000000000001,1
72783,40.61,-74.18,1
72785,40.61,-74.17,7
72786,40.61,-74.165,14
72787,40.61,-74.16000000000001,19
72788,40.61,-74.155,7
72789,40.61,-74.15,13
72790,40.61,-74.14500000000001,3
72791,40.61,-74.14,71
72792,40.61,-74.135,22
72793,40.61,-74.13000000000001,32
72794,40.61,-74.125,68
72795,40.61,-74.12,13
72796,40.61,-74.11500000000001,11
72797,40.61,-74.11,12
72798,40.61,-74.105,14
72799,40.61,-74.10000000000001,10
72800,40.61,-74.095,2
72801,40.61,-74.09,24
72802,40.61,-74.08500000000001,16
72803,40.61,-74.08000000000001,18
72804,40.61,-74.075,20
72805,40.61,-74.07000000000001,30
72806,40.61,-74.06500000000001,14
72811,40.61,-74.04,7
72812,40.61,-74.03500000000001,9
72813,40.61,-74.03,2
72816,40.61,-74.015,14
72817,40.61,-74.01,16
72818,40.61,-74.00500000000001,58
73492,40.615,-74.17,12
73493,40.615,-74.165,7
73494,40.615,-74.16000000000001,12
73495,40.615,-74.155,28
73496,40.615,-74.15,25
73497,40.615,-74.14500000000001,23
73498,40.615,-74.14,13
73499,40.615,-74.135,14
73500,40.615,-74.13000000000001,13
73501,40.615,-74.125,22
73502,40.615,-74.12,14
73503,40.615,-74.11500000000001,1
73504,40.615,-74.11,2
73505,40.615,-74.105,7
73506,40.615,-74.10000000000001,8
73507,40.615,-74.095,7
73508,40.615,-74.09,46
73509,40.615,-74.08500000000001,49
73510,40.615,-74.08000000000001,7
73511,40.615,-74.075,16
73512,40.615,-74.07000000000001,10
73513,40.615,-74.06500000000001,6
73518,40.615,-74.04,8
73519,40.615,-74.03500000000001,34
73520,40.615,-74.03,25
73521,40.615,-74.025,27
73522,40.615,-74.02000000000001,17
73523,40.615,-74.015,5
73524,40.615,-74.01,22
73525,40.615,-74.00500000000001,15
74199,40.620000000000005,-74.17,4
74200,40.620000000000005,-74.165,54
74201,40.620000000000005,-74.16000000000001,30
74202,40.620000000000005,-74.155,10
74203,40.620000000000005,-74.15,12
74204,40.620000000000005,-74.14500000000001,15
74205,40.620000000000005,-74.14,20
74206,40.620000000000005,-74.135,45
